층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
1F,MAIN,1F 본관 복도 01,1F_MAIN_CORRIDOR_01,SPACE_1F_MAIN_CORRIDOR_01,촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도/,사진보관/원본/1층/복도/3-4 교실에서 본관 출입구까지 복도/
1F,MAIN,1F 본관 복도 02,1F_MAIN_CORRIDOR_02,SPACE_1F_MAIN_CORRIDOR_02,촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도/,사진보관/원본/1층/복도/행정실에서 급식실까지 복도/
1F,ANNEX,1F 별관 복도,1F_ANNEX_CORRIDOR_01,SPACE_1F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도/,사진보관/원본/1층/복도/1-6 교실에서 1-3 교실까지 복도/
1F,MAIN,1F 본관 계단 A,1F_MAIN_STAIR_A,SPACE_1F_MAIN_STAIR_A,촬영사진_넣는곳/1층/계단/3-4 교실 옆 다목적실 쪽 계단/,사진보관/원본/1층/계단/3-4 교실 옆 다목적실 쪽 계단/
1F,MAIN,1F 본관 계단 B,1F_MAIN_STAIR_B,SPACE_1F_MAIN_STAIR_B,촬영사진_넣는곳/1층/계단/본관 출입구 뒤 숙직실 옆 계단/,사진보관/원본/1층/계단/본관 출입구 뒤 숙직실 옆 계단/
1F,ANNEX,1F 별관 계단 D,1F_ANNEX_STAIR_D,SPACE_1F_ANNEX_STAIR_D,촬영사진_넣는곳/1층/계단/1-6 교실 옆 별관 출입구 쪽 계단 위치 확인/,사진보관/원본/1층/계단/1-6 교실 옆 별관 출입구 쪽 계단 위치 확인/
1F,MAIN,1F 본관 화장실 A,1F_MAIN_TOILET_A,SPACE_1F_MAIN_TOILET_A,촬영사진_넣는곳/1층/기타_촬영전허가필요/3-4 교실 쪽 화장실/,사진보관/원본/1층/기타_촬영전허가필요/3-4 교실 쪽 화장실/
1F,MAIN,1F 본관 화장실 B,1F_MAIN_TOILET_B,SPACE_1F_MAIN_TOILET_B,촬영사진_넣는곳/1층/기타_촬영전허가필요/행정실 쪽 화장실/,사진보관/원본/1층/기타_촬영전허가필요/행정실 쪽 화장실/
1F,ANNEX,1F 별관 화장실,1F_ANNEX_TOILET_A,SPACE_1F_ANNEX_TOILET_A,촬영사진_넣는곳/1층/기타_촬영전허가필요/1-6 교실 쪽 화장실/,사진보관/원본/1층/기타_촬영전허가필요/1-6 교실 쪽 화장실/
2F,MAIN,2F 본관 복도 01,2F_MAIN_CORRIDOR_01,SPACE_2F_MAIN_CORRIDOR_01,촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/,사진보관/원본/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도/
